Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000000022	720.98	739.53	660.82	489.54	596.1	801.51	498.37	873.08	821.29	757.14	575.29	440.92
LL0000000023	190.37	215.99	219.04	44	78.45	112.96	133.99	177	151	137.99	65.04	77.57
LL0000000024	130.9	151.5	153.13	34.49	47	51	146.07	185.46	107.74	55.94	32.04	30.84
LL0000000025	458.86	569.38	555.18	247	253.13	271.46	385.24	465.32	341.6	331.34	192.82	171.28
LL0000000026	293.02	414.75	402.33	75.02	93	62	378.79	425.03	297.12	117.29	61.74	53
LL0000000027	758.07	922.5	986.11	260.94	385.99	304.75	732.03	752.79	626.83	463.34	195	194.01
LL0000000028	3784.43	4661.99	4757.74	1169.21	1636.85	982.17	2824.45	3695.76	2917.96	1628.78	776.11	769.79
LL0000000029	159	223.23	188.93	33.61	82.71	45	144.99	139	132.13	70	27.27	40.47
LL0000000030	775.71	809.73	837.36	130.36	211.97	230	790.61	849.89	670.13	267.82	125.02	117
LL0000000031	58.57	107.25	83.33	30.25	34.1	33	52.16	60.08	56.25	49.38	24	43.08
LL0000000032	14	5	4.03	1	1	0	5	3	6	6	0	2
LL0000000033	328.01	354.27	376.6	117	132.94	107.01	241.08	366.56	259.79	143.85	107.06	115.03
LL0000000034	403.11	335.54	341.24	299.71	428.5	551	280.16	327.61	344.75	438.35	309.29	262.8
LL0000000035	1078	1251.29	1243.09	195.99	322.21	362.53	593.98	1142.09	922.55	389.33	228.75	167.2
LL0000000036	3	2	3	1	2	5	3	0	1	7	2	1
LL0000000037	21	23	13	5	8	9	19.01	24.41	19	6	11	3
LL0000000038	863.61	681.92	656.42	473.13	636.19	758.76	676.01	903.48	754.17	788.82	414.5	398.53
LL0000000039	91	79.01	126.19	69	124.04	107	79.97	88.13	71.4	139	61.84	45.98
LL0000000040	95.95	101.95	136	30	40	37	94	116	125.04	77.05	42	47
LL0000000041	1020.95	864.78	968.95	272	327.01	319.18	810.07	1441.38	980.07	331.76	285.47	181
LL0000000042	258.5	263.39	276	202	298	443	184	352.16	252.19	331.03	260.78	208.89
LL0000000043	88	98.98	97.02	48.01	90	148	72	96.83	62	115	74	69
LL0000000044	341.06	300.74	321.32	274.11	361.93	428.25	332.57	363.66	346.97	486.61	312.74	317.06
LL0000000045	432.13	484.11	431.78	175.6	219	251	358.01	533.4	461.94	298.79	200.14	147
LL0000000046	26	33	38	13	13	17	12	32	38.06	15.98	6	12
LL0000000047	102.16	77.87	100.3	47.25	103.43	129.53	95.17	116.31	108.39	131.61	100.89	72.52
LL0000000048	1334.32	1408.86	1381.46	1267.08	1574.01	1695.66	921.66	1521.97	1155.67	1544.72	1093.64	921.64
LL0000000049	628.62	580.73	682.54	165.88	234	225	529.24	709	604.01	310.54	165.86	141.76
LL0000000050	692.04	643	661.13	225	280.13	355.83	544.36	778.71	653.27	419.98	254.01	192.42
LL0000000051	1817.14	1777	2048.69	1700.01	2484.05	3815.51	1664.54	1863.88	1590.68	3228	2014.4	1967.1
LL0000000052	14	20	11	3	9	10	13	14	11.98	11.18	10.01	7
LL0000000053	22.11	13.56	20.02	7.49	12.88	19.17	16.12	31.47	10.72	21.97	15.31	10
LL0000000054	93.18	208.91	252.95	40.49	70.98	110.05	93.2	116.42	99.47	59.55	37.11	39.22
LL0000000055	50	67.98	58	3	7	12	57.53	72	79.32	15.01	6.12	7
LL0000000056	11.93	8	6	10	12	35	6.05	10	2	29	25	14
LL0000000057	447.74	398.1	451.85	114.92	207	221.48	434.71	451	367.18	256.15	118.39	126.23
LL0000000058	68	81	70.04	82	117	122.38	47	69	40	114.54	72.17	59
LL0000000059	3	4	8	10.65	14	20	3	8	10.9	10	6	9
LL0000000061	756.11	614.63	717.1	393.97	569.03	869.91	512.88	678.81	608.72	799.92	590.93	447.77
LL0000000062	234.56	232.93	265.08	123.68	174.62	246.69	167.85	254	195.85	233.62	147.8	158
LL0000000063	206	238.99	228.3	77	151.15	190.48	152.07	232.87	255.92	200.27	122	115
LL0000000064	6504.75	5233.99	5754.26	4708.83	5463.08	6437.98	3907.68	6835.91	6197.3	5420.94	3844.04	3364.91
LL0000000065	4827.97	4449.1	4248.49	4856.92	6411.49	7231.17	3681.34	6344.08	5245.57	7176.25	4753.76	4070.56
LL0000000066	2593.01	1512.5	1450.96	3036.33	4286.2	5704.98	1556.77	2712.08	2368.64	5489.29	3903.26	3568.65
LL0000000067	175	171	145.99	185.99	296.01	408.26	133.09	208.55	135	335.15	235	185.99
LL0000000068	613.08	606.76	457	556.24	636.96	677.02	415.11	842.59	825.24	615.58	431.58	358.8
LL0000000069	10.82	15.17	15	4	14	12.84	7	8	18	35.93	12	12
LL0000000070	75	102	114	45	116	73.6	102	128.29	97.58	73	49	45.93
LL0000000071	6	0	5	0	1	4	0	1	2	1	1	7
LL0000000072	539.97	482.94	584.43	299.16	387.45	495.59	420.46	503.89	421.43	498.35	310.66	248.31
LL0000000073	7	8	13	5	5	8	12	25	8	8	8	11
LL0000000074	13	21	22.01	9	6	8	19	11	11.99	13.22	7	5
LL0000000075	24	47	40	19	34.8	66.83	35	46.05	32	43	35.05	21
LL0000000076	11	3	9	0	3	9	7	2	1	2	1	11
LL0000000077	8.98	9	7	4	3	14	2	4	3	19.99	6	15
LL0000000078	138	152.23	140.47	82	81.31	112.96	98.99	104	116	124.43	98.26	95
LL0000000079	106.04	115.95	110	68.28	147.21	158.11	82	96	89.01	178.46	87	108
LL0000000080	534.99	461.92	516.17	510.58	709	883	355.8	619.01	526.52	667.34	457.85	480.6
LL0000000081	119.01	105.16	131.3	67.75	79	128	107.16	115	98	137.98	112.26	98.02
LL0000000082	374.94	326.43	402.57	145.97	174.1	192.75	244.09	310.51	309.72	258.79	166	135.81
LL0000000083	37.05	50.04	34	53	67	69.06	39	56.36	32.96	107.55	55.44	63.9
LL0000000084	130	128.14	151.78	137	134.04	106.98	96.01	101.93	141.54	254.2	120.2	142.3
LL0000000085	114.09	105.77	143.3	133.4	204	243.93	117.32	154.13	135.49	269	160	150.89
LL0000000086	94	46.9	71	64	87.5	80.02	52	79.13	61	90.07	71	76
LL0000000087	780.95	733.06	808.98	574	881.19	1041.09	545.26	983.96	768.94	839.03	581.56	441.1
LL0000000088	516.12	376.04	486.25	436.93	485.45	522.09	407.95	522.06	404.08	642.04	366.7	367.76
LL0000000089	144.1	133.06	152.95	233.83	242.7	262	145.01	196.99	138.95	366.29	178.89	307.91
LL0000000090	233.89	206.68	207	217.59	274	360.17	199.2	242.71	231.97	364.38	233.47	204.04
LL0000000091	809.53	743.26	738.45	170	244.03	290	708.6	1058.23	962.91	279.62	222.2	159.99
LL0000000092	202	160.75	225.92	152.03	204.02	257.01	172.35	203.32	188.99	194.37	139	111.05
LL0000000093	4	13	17	3	8	6	5	7	20.03	11	3	11.73
LL0000000094	39	24	24	13	28	21	15	22.99	14	13	19.58	11
LL0000000095	10.04	10.43	18	4.92	11	8	12	17	12	16	18.17	14
LL0000000096	109.99	108	117.97	110	182.62	166	81	107	97.88	97.77	94	83
LL0000000097	982.07	882.64	1478.61	217.56	525.86	814.12	1076.29	1383.05	1429.3	1002.68	597.48	497.19
LL0000000098	0	3	3	0	5	11	3	6	2	5.39	9	6
LL0000000099	12	9.5	15	5	10	15.81	14	9	9	13.98	4	6
LL0000000100	11.18	9.24	6.62	41	160.37	208	12.73	12.38	6.84	190.88	86.2	115.99
LL0000000101	736.64	723.13	826.62	204.58	265.04	309.14	743.54	902.86	704.46	400.92	223.95	197.11
LL0000000102	116	123.24	117.22	42.04	47	46.92	91.86	106.19	95	61.76	32.44	35.01
LL0000000103	415.69	455.88	442.19	198.71	284.16	336.72	307.8	500.36	455.7	302.55	198.66	179.41
LL0000000104	1307.6	1249.62	1329.34	841.04	1054.7	1289.75	1139.47	1412.66	1375.94	1180.92	775.88	687.41
LL0000000105	6	7	13	4.02	6	5	21	20	8	11	4	1
LL0000000106	250.86	225.64	306.93	74.05	144.42	256.56	160.93	230	240.79	186.1	102.01	139
LL0000000107	3	1	2	0	0	0	0	1	0	4	0	1
LL0000000108	391.39	392.49	449.81	53	94.23	110.01	374.97	409.95	409.33	129.04	57.64	52.99
LL0000000109	1543.45	1412.96	1429.49	1369.33	1880.41	1735.79	1453.62	1854.77	1395.33	1907.07	1115.25	1154.17
LL0000000110	517.09	576.6	575.76	709.14	996.85	1386.93	448.64	680.65	502.69	1186.41	844.06	872.87
LL0000000111	113	159.03	136.01	12	35	45	121.25	132.99	98.02	61.9	13	19.98
LL0000000112	939.21	1154.61	1229.36	136	281.36	271.88	731.32	961.23	813.71	351.91	185.27	155.12
LL0000000113	207.01	220.7	269.62	15.93	23	18	202.91	228	165	51.06	12.68	16
LL0000000114	146	162.52	172.27	16	24	30	113.73	185	147.63	24	20	12
LL0000000115	2	13	4	4	4.37	3.01	0	3	5.15	6.02	2	0
LL0000000116	60.88	36.59	105.8	78.88	84.32	149.11	62.84	79.32	72.35	76.71	50.18	50.36
LL0000000117	478	504.52	529.99	346.47	424.61	474.97	363.27	448.12	432.17	535.26	372.21	329.02
LL0000000118	283.01	232.01	202.29	139	223	301.2	195.23	260.09	205.92	218.08	119.03	98.76
LL0000000119	1637.48	1584.51	1936.92	1744.24	2522.96	3410.38	1119.73	1527.15	1635.57	2749.33	2248.61	1714.68
LL0000000120	284.65	274.87	317.72	212.76	306.34	480.79	217.01	295	307.86	456.55	327.7	273.32
LL0000000121	183.92	171	173.69	152	211	260.99	157	208.16	144.01	284.82	177.75	184.42
LL0000000122	390.28	395.83	434.58	387.04	367.26	488.21	265	511.92	423.06	457.12	453.97	357.77
LL0000000123	123.7	108.22	157.44	63.39	83.82	43	99.97	83.92	97.21	103.54	49.1	50
LL0000000124	45	52	50.01	26.12	43	43.07	42.21	41	30.09	28	26	36.07
LL0000000125	400.4	426.42	408.61	45.97	102	93.74	377.06	555.91	443.87	101.85	81.04	48
LL0000000126	60	35.08	52	44	58.97	73.77	32	45.02	66	61.99	41.04	42
LL0000000127	1731.45	1398.84	1893.25	1103.52	1703.63	1882.01	1212.97	1556.78	1348.89	1881.08	1109.58	1003.46
LL0000000128	563.36	596.86	581.48	133	195	191	495.22	653.42	477.9	312.97	205	163
LL0000000129	1110.6	1203.43	1308.67	141.98	220.98	166	873.94	1109.49	899.81	315	153.34	163.02
LL0000000130	198.07	181.85	222.77	43	68	84	112	184.8	202.69	81	39	49
LL0000000131	375	371.83	361.92	232.98	340	453.35	273.96	365.5	392.71	407.22	289.57	219
LL0000000132	241.81	224.64	248.37	160.92	173.98	184.12	171.36	251.48	196.93	226.77	133.83	144.09
LL0000000133	459.79	449.31	466.13	272.28	416	501.04	342.97	448.31	381.04	425.23	253.91	261.48
LL0000000134	1210.26	1273.33	1230.44	853.31	1495.76	1890.27	757.76	1377.04	1093.01	1543.1	1023.5	1000.67
LL0000000135	744.8	643.6	712.54	455.51	643.07	941.96	509.01	772.93	581	629.98	443.03	384.98
LL0000000136	1853.66	1892.99	1911.44	1791.56	2845.67	3534.1	1491.16	2462.18	2190.01	2915.65	1948.51	1728.92
LL0000000137	2714.16	2385.09	2788.58	1433.59	1959.88	1912.98	1956.51	2942.5	2311	2033.31	1314.95	1115.77
LL0000000138	108	128.19	131.03	19.6	17	33	93	110.3	92	61	27	24
LL0000000139	49.3	44	50.01	18.15	12	15	29	44	26	16	6	6
LL0000000140	186.98	170	185	68.01	123.96	162	128.84	169.01	156	190.75	112.22	117.6
LL0000000141	345.02	353.36	378.06	98.99	155.61	117.9	328.73	510.93	303.33	187.26	92.69	97.16
LL0000000142	346.71	374.23	395.49	69	101.47	228.52	315.02	427.31	371.22	152.2	98	88.62
LL0000000143	191.14	180	204.23	68.01	117	117	153.97	239	189.99	121.95	70.39	73
LL0000000144	875.02	756.28	1000.87	327.81	493.8	607.43	691.14	944.08	850.43	527.95	310.03	288.18
LL0000000145	1093.69	986.59	922.49	922	1190.88	1321.67	740.2	1241.62	1041.03	1258.45	793.58	682.12
LL0000000146	1060.36	915.08	901.19	1014.47	1494.48	1851.38	827.95	1249.47	1002.23	1875.26	1079.06	1055.38
LL0000000147	171	265	136.98	52	106	149.08	123.94	205.02	121.45	95.03	46	65
LL0000000148	159.97	172	189.34	100	148.97	242	138.01	186.96	179.95	177.89	175	105.58
LL0000000149	3	2	4	0	2	1	2	0	1	2	1	0
LL0000000150	417.03	352.94	440.33	180.94	221.94	246.99	319.88	385.63	373.73	327.97	196.4	172.65
LL0000000151	93	83.98	107	67.42	114	144.43	52.9	91	66	153.98	107	84
LL0000000152	613.5	541.4	588.41	385.84	651.71	764.98	505.97	846.64	729.05	618.89	454.53	426.03
LL0000000153	168.99	222.8	204.99	137.71	238	334.98	146.77	199.01	175.41	253.1	236.99	190.04
LL0000000154	222.05	236.64	213.31	443	435.05	682.99	159.36	243.09	195.01	604.74	470.81	408
LL0000000155	11	7	10.83	3	4	5	8	7	6	3	7	9
LL0000000156	24.65	26	30.98	33	114.99	89.56	32.8	49.46	31.95	47.6	44.95	22.91
LL0000000157	93	87.02	104.65	62	75.97	78.88	64	55	27.03	94.23	55	51.87
LL0000000158	27.63	32.16	37.6	22.3	26.86	27.3	41	27.81	20.24	52.71	30.08	38.1
LL0000000159	939.19	1086.14	1092.86	653.81	885.51	933.12	900.89	1014.54	899.93	923.66	502.05	490.81
LL0000000160	6800.46	8830.93	7297.48	4631.59	6944.55	8068.79	5977.2	8993.56	7284.01	7770.77	4945.62	4745.17
LL0000000161	3217.59	3540.95	3071.67	1396.62	2598.36	3452.82	2581.73	4290.54	3457.04	3365.88	2139.73	1854.07
LL0000000162	1	1	2	0	0	1	1	2	2	1	0	3
LL0000000163	53	41.87	66.06	16	25	53	51	62	57.99	44	22.44	32
LL0000000164	1119.02	1271.53	1424.28	785.65	1218.64	1977.18	957.7	1376.01	1245.59	1595.56	957.9	915.97
LL0000000165	10	7	15	18	43	36	7	14	5	19	29	18
LL0000000166	42.11	22	38.11	51	80.11	114.08	32	60	22	106.01	65.38	69.9
LL0000000167	2682.45	2627.6	2833.19	1309.75	1697.01	1619.25	2244.22	3262.45	2486.52	1721.97	901.26	866.15
LL0000000168	92	76.91	89	21	42	27	72	86.69	54.01	48.99	31	13
LL0000000169	25	25	39	3	19	18	37	52	38	20	12	12
LL0000000170	409.66	332.41	427.03	307.89	358.99	393.65	346.57	319.57	278.37	488.55	258.49	308.16
LL0000000171	4461.07	4105.47	4527.39	4081.85	5568.35	6337.18	3679.65	4400.45	3841.09	5855.99	3624.36	3223.44
LL0000000172	34	33	32	39	46.27	74	29	37	41	67.03	39	39
LL0000000173	117	117.85	145.15	60	76.25	95	116	135	119	96	64.73	60
LL0000000174	118.2	96	133.26	76.01	117.36	146.93	62	101.85	84	113.62	72.7	70.99
LL0000000175	48.04	44.5	72.01	43.77	57.76	100.98	30.34	39.36	53.43	86.23	61.86	40.26
LL0000000176	93.46	127.09	107.7	86.35	144.78	157.82	65.84	127.88	96.26	153.93	100.38	85.39
LL0000000177	725.61	681.96	747.08	249.41	490.4	966.77	505.66	728.8	716.15	853.72	671.32	460.22
LL0000000178	336.97	317.4	368.67	101.52	173.57	184.16	212.81	331.43	309.1	207.17	196.59	128.36
LL0000000179	42.46	37.63	38.35	16.88	24.18	48.77	18.6	31.98	26.03	47.9	25.36	19.71
LL0000000180	395.68	310.82	333.57	76.93	162	154.47	203.51	314.52	318.55	206.39	86.88	102.72
LL0000000181	131.24	106.2	129.91	50.26	109.22	127.49	96.69	147.74	119.61	158	104.99	81.01
LL0000000182	6	0	5	9	6	9	3	2	2	10	6.02	2
LL0000000183	333.02	245.33	317.48	391	512.83	773.92	266.6	320.38	262.37	903.34	558.85	565.94
LL0000000184	0	3.04	0	0	2.06	4.14	1.01	2.07	0	0	1.14	2.02
LL0000000185	0	0	0	0	1	0	0	0	0	1	2	0
LL0000000186	85.71	104.99	104	9	17.24	23	73.07	93	71.01	16	9.72	12
LL0000000187	24	18	40.98	13	33	44	31	41	43	41	23	28.51
LL0000000188	274.4	213.27	217.51	181.95	313.84	517.86	158.62	217.99	226.89	526	324.73	288.14
LL0000000189	194.56	139.73	182.39	69.06	80.9	126.86	137.18	184.88	173.54	188.27	86.31	85.84
LL0000000190	217.63	201.02	201.67	60	104	134	185.01	225.1	182.42	120.27	89.97	104.67
LL0000000191	90.09	111	84.13	26	38	70.08	78.98	98	68	64	28.12	27
LL0000000192	90.26	103	127.99	17	29.05	21.05	94.89	78.09	80.34	59.73	26	15
LL0000000193	593.44	543.02	687.79	323.64	440.73	558.84	402.6	469.75	559.27	497.69	364.82	265
LL0000000194	358.59	393.02	437.91	183.99	312	302.75	201	325.74	317	339.01	238	195
LL0000000195	7650.01	7045.96	9772.03	7199.75	10469.47	14861.79	5323.17	7281.74	6613.82	9800.74	6738.39	6012.78
LL0000000196	1	4	5	5	3	6.1	8	1	11	9	5	2
LL0000000197	80	47	64.26	79.01	100.99	171	61	64	86	150.98	84.98	79.14
LL0000000199	10	5.02	12.57	8	3.8	5	18	14	10.25	9	2	0
LL0000000200	1313.85	1319.9	1511.3	598.99	664.2	701.54	1278.85	1597.33	1329.02	705.43	420.39	354.52
LL0000000201	1567.94	1466.69	1466.22	735.27	1267.17	1311.74	1150.23	1578.81	1326.35	1186.04	740.97	646.67
LL0000000202	150.08	132.98	161.74	48	57.89	83.87	157.76	169.01	156.67	85	70	32.02
LL0000000203	789.29	796.53	888.66	197.09	257.17	310.51	696.6	802.51	606.42	379.75	224.11	191.95
LL0000000204	4230.36	4040.32	4125.93	2467.26	3053.15	2593.39	3467.64	4664.7	3793.13	4149.33	2590.39	2461.7
LL0000000205	1785.42	2043.21	1897.5	562	842.41	889.87	1374.91	1573.4	1544.38	800.53	410.65	362.02
LL0000000206	198.14	215.03	209.15	74.23	98.29	100	166.05	244.22	164.65	133.05	83.68	75.99
LL0000000207	1560.86	1561.8	1643.82	968.56	1231.38	1261.38	1257.8	1823.5	1419	1447.31	816.38	725.88
LL0000000208	1344.14	1254.35	1380.77	1085.58	1457	1874.86	925.49	1430.28	1316.08	1567.8	1074.16	922.28
LL0000000209	254.8	211.92	225.22	168.42	239.37	282.45	197.58	326.47	216.11	285.36	157.88	143.68
LL0000000210	459.06	380.76	504.27	233.07	288.58	401.42	299.96	414.91	348.16	378.62	250.13	207.7
LL0000000211	229	184.27	212.03	82.67	203.48	142	134.97	192	155	142.97	71.99	80
LL0000000212	606.79	582.4	629.54	296.93	368.78	518.89	428.23	625.14	504.43	458.05	322.07	293.99
LL0000000213	1452.53	1468.32	1291.64	417.72	574	619.54	961	1386.29	1217.78	663.04	398.42	422.9
LL0000000214	56	57.82	46	55	46	50	51.61	53.94	55	80.16	61.18	45.09
LL0000000215	250.48	244.77	286.12	53.96	72.75	76.85	243.77	264.82	279.82	106.94	48.91	59.69
LL0000000216	16523.87	14481.26	16648.58	7270.59	8216.98	9520.85	15070.92	19855.73	14872.01	8432.77	4860.76	4765.85
LL0000000217	38004.88	34686.22	36518.81	15685.65	24415.32	24006.62	32174.75	45463.42	31052	16575.94	7719.47	8216.52
LL0000000218	86.53	82.08	91.23	65.74	91.03	91.9	92.49	109.09	122.7	100.36	65.31	50.55
LL0000000219	120457.95	99904.87	125278.08	89286.11	100553.11	133549.39	80939.46	119660.15	96919.55	90455.71	62971.29	55946.88
LL0000000220	116965.39	107919.61	104788.82	84554.07	125484.99	147332.21	87924.06	118532.01	97390.68	89901.99	53587.32	49150.08
LL0000000222	144349.91	120877.37	153549.94	131124.83	184020.05	176173.42	118289.5	168814.89	118100.83	118732.76	67347.9	71790.24
LL0000000223	684.64	831.03	655.66	516.8	828.33	727.57	486.77	883.99	616.12	568.77	361.99	384.36
LL0000000224	2442.55	2248.67	2497.13	1422.29	1936.08	2551.61	1716.13	2503.46	2223.82	2213.06	1627.46	1273.92
LL0000000225	6	8	11	3	11.85	13	7	4	10.07	4	16	4
LL0000000226	2887.34	2626.17	2613.39	521.44	698.53	743.87	2265.5	2890.53	2560.59	781.11	522.95	449.23
LL0000000228	329.99	332.99	342.15	278.07	308.94	309.71	235.17	300.7	294.45	403.42	260	221.12
LL0000000229	13192.36	13472.25	14426.27	8263.86	11771.83	9716.44	10906.28	14211.25	11771.99	9961.56	5123.09	5533.8
LL0000000230	7990.07	8254.6	8988.8	5493.6	8588.12	7309.32	8906.59	9525.33	8170.01	8001.04	3523.21	3959.46
LL0000000231	7409.68	7721.88	8082.32	2362.56	3056.51	2128.02	6365.68	8303.06	6835.33	3213.66	1697.98	1540.51
LL0000000232	2338.16	2448.46	2194.04	1800.38	2733.81	3620.61	1844.21	2745.64	2390.98	2813.73	1795.2	1652.35
LL0000000233	1063.24	1010.04	1180.88	1059.85	1431.05	1559.01	948.61	1217.24	1112.24	1424.63	880.39	876.86
LL0000000234	1344.39	1277.72	1339.62	1019.36	1292.94	1293.36	1123.36	1489.1	1292.47	1498.53	876.24	869.3
LL0000000235	228	210	206.36	191	219.35	189.31	178.97	209	162	219.95	142	152.98
LL0000000236	5423.62	5133.09	4816	5134.93	6373.16	6571.79	3481.9	6040.38	5390.6	5375.36	3980.47	3495.77
LL0000000237	102.77	76.8	101.65	59.42	70.44	84.06	66.09	96.53	101.54	109.78	49.83	49.92
LL0000000238	486.6	321.61	454.32	562.93	834.41	1138.83	371.06	565.36	440	932.26	648.85	598.05
LL0000000239	467.27	429.44	435.38	309.04	470.29	712.04	359.02	490.16	468.01	666.31	507.06	377.03
LL0000000240	446.58	413.95	450.47	269	315.02	394	358.79	509.61	454	291.68	171.25	182.91
LL0000000241	982.47	1024.25	1196.96	943.32	1409.41	1598.49	891.13	943.54	813.95	1596.48	998.61	1024.05
LL0000000242	265	260	253.97	242	283.28	299.86	263.92	302	206	363.41	190.87	237
LL0000000243	4	2	4	0	0	4.81	5	15	3	3	7	2.44
LL0000000244	904.43	866.43	964.41	825.28	1150.76	1307.78	714.48	928.58	773.42	1205.25	776.04	709.91
LL0000000245	509.09	528.35	581.09	190.88	229.13	210	448.95	562.32	433.26	238.08	128.95	142.97
LL0000000246	527.74	602.33	657.15	310.83	430	407.07	472.86	480.13	465.39	551.83	286.65	280
LL0000000247	226.98	288.24	274.97	86	111.99	51.48	268.53	299.62	282.47	129	82	107
LL0000000248	658.93	819.67	797.93	534.85	528.98	473.34	573.05	684.71	552.59	855.56	370.97	517.05
LL0000000249	234.99	225.55	256.92	124	194.03	218	164.9	300.06	301.97	198.1	132.6	117.52
LL0000000250	405.78	499.34	559.16	401.95	490	620.04	329.04	431.77	392	557.99	348.47	354.97
LL0000000251	83.15	47.01	90.1	26.47	51.53	79.17	53.48	58.18	47.63	61.09	46.54	17.38
LL0000000252	831.35	1020.38	923.66	364.29	644.67	793.59	486.42	897.47	747.77	579.49	422.27	264.99
LL0000000253	66	71	110	73.16	121.99	167.92	34.01	85	79.31	128.96	66	100
LL0000000254	12	7	4	2	3	1.97	5	5	15	8	1	5
LL0000000255	68	49.9	36.79	17	28	31.98	42	60	40	43	62	29
LL0000000256	260.68	324.26	361.76	86.12	173.11	223.01	218.93	329.59	218.61	215.68	142.78	104.99
LL0000000257	0	3	2	5	4	13	1	4	3	11	8	4
LL0000000258	14.03	5.98	10.01	7	25.01	14	5	13	8	16	8	7
LL0000000259	1	0	2	1	3	5	4	3	4	7	3	6
LL0000000260	71	45	77	20	76	78	41.37	75	52	71	64	45
LL0000000261	1642.16	1826.09	2022.83	714.77	828.87	900.66	1296.99	1760.03	1544.75	1215.47	700.38	712.42
LL0000000262	1169.07	1060.66	1130.75	1054.36	1673.61	1913.65	1043.01	1388.62	954.26	1357.65	746.66	786.56
LL0000000263	92	100.04	110.02	27	42	40	71.91	101	72.17	47.06	45	36.06
LL0000000264	32	33	28.04	2	3	3	35	36	50	9	3	5
LL0000000265	15	12	21	0	5.01	13	2	11.1	13.1	7	1	2.01
LL0000000266	79.99	87.83	91	45	77	91.79	93	83.66	86	97.69	54.57	49.84
LL0000000267	990.43	981.06	1000.33	858.92	1121.81	1188.76	759.69	1090.75	857.07	1462.57	851.88	810.14
LL0000000268	165.99	146	148.42	68.07	133.99	136.91	138.89	175.23	106	174.3	107.74	84
LL0000000269	342.96	372.04	370.48	11	22	27.01	346.78	427.04	323.03	55	16	10
LL0000000270	131.88	160.86	180.97	31	63.75	91	125.43	182.92	118	58.74	30	30.03
LL0000000271	554.46	662.18	561.95	67	124	70	509.7	559.56	352.94	144.99	56.07	56.91
LL0000000272	327.99	329.69	335.01	145.15	227.04	231	281	362.7	313.02	245.94	123	127.09
LL0000000273	143.96	134.21	164.23	70.01	139	159	106.52	125.72	146.14	141	81.17	60
LL0000000274	244.15	231.79	260.62	166.07	247	444.3	204	283	250.85	356.99	253.86	178.03
LL0000000275	62	102	85.96	41	61.57	112.86	87.25	89.9	83.51	88.05	82.97	79.01
LL0000000276	275	277.1	251.76	60.04	63.81	100.22	229.88	260.98	232	126.35	72	20.34
LL0000000277	272.95	282.63	265.66	428.07	732.86	977.97	317.12	312.11	258.19	713.94	371.05	427.94
LL0000000278	245.33	231.91	218.2	48.02	84	57	240.69	254.96	197.86	93	48.21	51
